Date,High,Low,Open,Close,Volume,Adj Close
1984-12-03,163.5800018310547,162.2899932861328,163.5800018310547,162.82000732421875,95300000,162.82000732421875
1984-12-04,163.91000366210938,162.82000732421875,162.82000732421875,163.3800048828125,81250000,163.3800048828125
1984-12-05,163.39999389648438,161.92999267578125,163.3800048828125,162.10000610351562,88700000,162.10000610351562
1984-12-06,163.11000061035156,161.75999450683594,162.10000610351562,162.75999450683594,96560000,162.75999450683594
1984-12-07,163.30999755859375,162.25999450683594,162.75999450683594,162.25999450683594,81000000,162.25999450683594
1984-12-10,163.32000732421875,161.5399932861328,162.25999450683594,162.8300018310547,81140000,162.8300018310547
1984-12-11,163.17999267578125,162.55999755859375,162.8300018310547,163.07000732421875,80240000,163.07000732421875
1984-12-12,163.17999267578125,162.5500030517578,163.07000732421875,162.6300048828125,78710000,162.6300048828125
1984-12-13,162.9199981689453,161.5399932861328,162.6300048828125,161.80999755859375,80850000,161.80999755859375
1984-12-14,163.52999877929688,161.6300048828125,161.80999755859375,162.69000244140625,95060000,162.69000244140625
1984-12-17,163.6300048828125,162.44000244140625,162.69000244140625,163.61000061035156,89490000,163.61000061035156
1984-12-18,168.11000061035156,163.61000061035156,163.61000061035156,168.11000061035156,169000000,168.11000061035156
1984-12-19,169.02999877929688,166.83999633789062,168.11000061035156,167.16000366210938,139600000,167.16000366210938
1984-12-20,167.5800018310547,166.2899932861328,167.16000366210938,166.3800048828125,93220000,166.3800048828125
1984-12-21,166.3800048828125,164.6199951171875,166.33999633789062,165.50999450683594,101200000,165.50999450683594
1984-12-24,166.92999267578125,165.5,165.50999450683594,166.75999450683594,55550000,166.75999450683594
1984-12-26,166.75999450683594,166.2899932861328,166.75999450683594,166.47000122070312,46700000,166.47000122070312
1984-12-27,166.5,165.6199951171875,166.47000122070312,165.75,70100000,165.75
1984-12-28,166.32000732421875,165.6699981689453,165.75,166.25999450683594,77070000,166.25999450683594
1984-12-31,167.33999633789062,166.05999755859375,166.25999450683594,167.24000549316406,80260000,167.24000549316406
1985-01-02,167.1999969482422,165.19000244140625,167.1999969482422,165.3699951171875,67820000,165.3699951171875
1985-01-03,166.11000061035156,164.3800048828125,165.3699951171875,164.57000732421875,88880000,164.57000732421875
1985-01-04,164.5500030517578,163.36000061035156,164.5500030517578,163.67999267578125,77480000,163.67999267578125
1985-01-07,164.7100067138672,163.67999267578125,163.67999267578125,164.24000549316406,86190000,164.24000549316406
1985-01-08,164.58999633789062,163.91000366210938,164.24000549316406,163.99000549316406,92110000,163.99000549316406
1985-01-09,165.57000732421875,163.99000549316406,163.99000549316406,165.17999267578125,99230000,165.17999267578125
1985-01-10,168.30999755859375,164.99000549316406,165.17999267578125,168.30999755859375,124700000,168.30999755859375
1985-01-11,168.72000122070312,167.5800018310547,168.30999755859375,167.91000366210938,107600000,167.91000366210938
